"DragonFlyBSD (amd64)","1"
"HP-UX (PA_RISC2.0W)","1"
"Linux (s390)","1"
"NetBSD (i386)","1"
"OS/400 (ppc)","1"
"QNX (amd64)","1"
"Windows XP (amd64)","1"
"NetBSD (amd64)","2"
"OpenBSD (aarch64)","2"
"NONSTOP_KERNEL (IA64N)","3"
"NONSTOP_KERNEL (amd64)","3"
"Linux (e2k)","4"
"Windows Server 2016 Standard (amd64)","4"
"Windows 2003 (amd64)","5"
"HP-UX (PA_RISC2.0)","7"
"NONSTOP_KERNEL (x86_64N)","7"
"OS400 (ppc64)","7"
"Linux (ppc)","10"
"FreeBSD (aarch64)","14"
"Linux (x86)","16"
"Windows Server version 2009 (amd64)","17"
"Linux (ppc64)","21"
"Linux (sw64)","21"
"FreeBSD (i386)","22"
"Windows 11 (aarch64)","24"
"Windows Vista (x86)","26"
"SunOS (sparc)","28"
"HP-UX (IA64W)","31"
"OpenBSD (amd64)","32"
"AIX (ppc)","34"
"Windows 8 (x86)","34"
"Linux (mips64el)","37"
"Windows 8 (amd64)","39"
"SunOS (x86)","45"
"Windows Server 2008 (x86)","48"
"Windows Server 2008 (amd64)","61"
"Windows 2003 (x86)","72"
"Linux (riscv64)","73"
"Windows XP (x86)","80"
"OS/400 (ppc64)","98"
"Linux (loongarch64)","102"
"Windows Server 2012 (x86)","148"
"HP-UX (IA64N)","159"
"Windows 8.1 (x86)","173"
"Windows Server 2022 (x86)","227"
"z/OS (s390x)","248"
"SunOS (amd64)","250"
"Windows 11 (x86)","263"
"Linux (s390x)","306"
"Windows 8.1 (amd64)","308"
"Windows NT (unknown) (x86)","403"
"Linux (ppc64le)","451"
"Windows Server 2008 R2 (x86)","451"
"Windows Server 2012 (amd64)","497"
"FreeBSD (amd64)","552"
"SunOS (sparcv9)","649"
"Windows 7 (x86)","813"
"Windows NT (unknown) (amd64)","979"
"Windows Server 2012 R2 (x86)","1285"
"Linux (arm)","1290"
"Windows Server 2019 (x86)","1418"
"AIX (ppc64)","1505"
"Windows Server 2008 R2 (amd64)","1649"
"Windows 7 (amd64)","2246"
"Windows Server 2016 (x86)","2730"
"Linux (i386)","2772"
"Windows 10 (x86)","3954"
"Windows Server 2012 R2 (amd64)","7102"
"Mac OS X (aarch64)","12747"
"Linux (aarch64)","14202"
"Windows Server 2022 (amd64)","16345"
"Mac OS X (x86_64)","16348"
"Windows 11 (amd64)","19583"
"Windows Server 2016 (amd64)","30201"
"Windows Server 2019 (amd64)","33847"
"Windows 10 (amd64)","67496"
"N/A","367148"
"Linux (amd64)","601672"
